X	Y	Site
-70.263031	43.581823	Spurwink
-70.344282	43.567018	Scarborough
-70.366345	43.53317	Jones
-70.542281	43.34247	Little_River
-70.570737	43.312291	Eldridge
-70.586723	43.274065	Furbish
-70.91294	43.074433	Lubberland
-70.915477	43.044304	Chapmans
-70.730402	43.035613	Fairhill
-70.834455	42.881795	Hampton
-70.818898	42.773408	Parker_River
-69.975044	41.636279	Monomoy
-71.247571	41.486677	Sachuest
-71.456756	41.450694	Chafee 
-71.8627481	41.337466	Barn_Island
-72.660773	41.274842	East_River
-72.548221	41.263498	Hammonasset
-72.893452	40.769611	Shirley
-73.745247	40.648212	Idlwild
-73.622075	40.621339	MNC
-74.191103	40.610062	Sawmill
-73.905425	40.601172	Four_Sparrow
-74.195678	39.712487	ATT
-74.44168	39.469462	OC-MU 
